"id";"cliente_id";"tipo";"nota";"proxima_accion";"fecha_proxima";"fecha";"asesor"
1;"800112169";"LLAMADA";"SE LLAMA AL CLIENTE";"NO TIENE REQUERIMIENTOS";"2026-04-26";"2026-04-21 00:00:00";"JUAN VICENTE PAEZ OSPINA"
2;"800141257";"LLAMADA";"SE LLAMA AL CLIENTE";"NO TIENE REQUERIMIENTOS";"2026-04-26";"2026-04-21 00:00:00";"JUAN VICENTE PAEZ OSPINA"
3;"890103697";"LLAMADA";"SE LLAMA AL CLIENTE";"NO TIENE REQUERIMIENTOS";"2026-04-26";"2026-04-21 00:00:00";"JUAN VICENTE PAEZ OSPINA"
4;"900422814";"LLAMADA";"SE LLAMA AL CLIENTE";"NO TIENE REQUERIMIENTOS";"2026-04-26";"2026-04-21 00:00:00";"JUAN VICENTE PAEZ OSPINA"
5;"900630301";"LLAMADA";"SE LLAMA AL CLIENTE";"NO TIENE REQUERIMIENTOS";"2026-04-26";"2026-04-21 00:00:00";"JUAN VICENTE PAEZ OSPINA"
6;"900688562";"LLAMADA";"SE LLAMA AL CLIENTE";"NO TIENE REQUERIMIENTOS";"2026-04-26";"2026-04-21 00:00:00";"JUAN VICENTE PAEZ OSPINA"
7;"900704010";"LLAMADA";"SE LLAMA AL CLIENTE";"NO TIENE REQUERIMIENTOS";"2026-04-26";"2026-04-21 00:00:00";"JUAN VICENTE PAEZ OSPINA"
8;"900928850";"LLAMADA";"SE LLAMA AL CLIENTE";"3 INTENTOS NO RESPONDE";"2026-04-26";"2026-04-21 00:00:00";"JUAN VICENTE PAEZ OSPINA"
9;"901185503";"LLAMADA";"SE LLAMA AL CLIENTE";"NO TIENE REQUERIMIENTOS";"2026-04-26";"2026-04-21 00:00:00";"JUAN VICENTE PAEZ OSPINA"
10;"901328488";"LLAMADA";"SE LLAMA AL CLIENTE";"NO TIENE REQUERIMIENTOS";"2026-04-26";"2026-04-21 00:00:00";"JUAN VICENTE PAEZ OSPINA"
11;"901476075";"LLAMADA";"SE LLAMA AL CLIENTE";"NO TIENE REQUERIMIENTOS";"2026-04-26";"2026-04-21 00:00:00";"JUAN VICENTE PAEZ OSPINA"
12;"901529116";"LLAMADA";"SE LLAMA AL CLIENTE";"NO TIENE REQUERIMIENTOS";"2026-04-26";"2026-04-21 00:00:00";"JUAN VICENTE PAEZ OSPINA"
13;"15247371";"LLAMADA";"SE LLAMA AL CLIENTE";"POR AHORA NO NECESITA NADA";"2026-04-27";"2026-04-22 00:00:00";"JUAN VICENTE PAEZ OSPINA"
14;"800218613";"LLAMADA";"SE LLAMA AL CLIENTE";"POR AHORA NO NECESITA NADA";"2026-04-27";"2026-04-22 00:00:00";"JUAN VICENTE PAEZ OSPINA"
15;"802024688";"LLAMADA";"SE LLAMA AL CLIENTE";"NO RESPONDE";"2026-04-27";"2026-04-22 00:00:00";"JUAN VICENTE PAEZ OSPINA"
16;"830019298";"LLAMADA";"SE LLAMA AL CLIENTE";"POR AHORA NO NECESITA NADA";"2026-04-27";"2026-04-22 00:00:00";"JUAN VICENTE PAEZ OSPINA"
17;"830080022";"LLAMADA";"SE LLAMA AL CLIENTE";"POR AHORA NO NECESITA NADA";"2026-04-27";"2026-04-22 00:00:00";"JUAN VICENTE PAEZ OSPINA"
18;"890101181";"LLAMADA";"SE LLAMA AL CLIENTE";"POR AHORA NO NECESITA NADA";"2026-04-27";"2026-04-22 00:00:00";"JUAN VICENTE PAEZ OSPINA"
19;"900007233";"LLAMADA";"SE LLAMA AL CLIENTE";"POR AHORA NO NECESITA NADA";"2026-04-27";"2026-04-22 00:00:00";"JUAN VICENTE PAEZ OSPINA"
20;"900077267";"LLAMADA";"SE LLAMA AL CLIENTE";"POR AHORA NO NECESITA NADA";"2026-04-27";"2026-04-22 00:00:00";"JUAN VICENTE PAEZ OSPINA"
21;"900122962";"LLAMADA";"SE LLAMA AL CLIENTE";"POR AHORA NO NECESITA NADA";"2026-04-27";"2026-04-22 00:00:00";"JUAN VICENTE PAEZ OSPINA"
22;"900421219";"LLAMADA";"SE LLAMA AL CLIENTE";"POR AHORA NO NECESITA NADA";"2026-04-27";"2026-04-22 00:00:00";"JUAN VICENTE PAEZ OSPINA"
23;"900439672";"LLAMADA";"SE LLAMA AL CLIENTE";"POR AHORA NO NECESITA NADA";"2026-04-27";"2026-04-22 00:00:00";"JUAN VICENTE PAEZ OSPINA"
24;"900505216";"LLAMADA";"SE LLAMA AL CLIENTE";"POR AHORA NO NECESITA NADA";"2026-04-27";"2026-04-22 00:00:00";"JUAN VICENTE PAEZ OSPINA"
25;"901017839";"LLAMADA";"SE LLAMA AL CLIENTE";"POR AHORA NO NECESITA NADA";"2026-04-27";"2026-04-22 00:00:00";"JUAN VICENTE PAEZ OSPINA"
26;"901128710";"LLAMADA";"SE LLAMA AL CLIENTE";"NO RESPONDE";"2026-04-27";"2026-04-22 00:00:00";"JUAN VICENTE PAEZ OSPINA"
27;"901142631";"LLAMADA";"SE LLAMA AL CLIENTE";"POR AHORA NO NECESITA NADA";"2026-04-27";"2026-04-22 00:00:00";"JUAN VICENTE PAEZ OSPINA"
28;"901205445";"LLAMADA";"SE LLAMA AL CLIENTE";"POR AHORA NO NECESITA NADA";"2026-04-27";"2026-04-22 00:00:00";"JUAN VICENTE PAEZ OSPINA"
29;"901337193";"LLAMADA";"SE LLAMA AL CLIENTE";"NO RESPONDE";"2026-04-27";"2026-04-22 00:00:00";"JUAN VICENTE PAEZ OSPINA"
